model,gene,rank,total_genes,importance,percentile
random_forest,EGFR,13547,18900,0.005440359670997875,28.3
random_forest,ERBB2,17290,18900,0.004990107040176819,8.5
random_forest,ERBB3,16864,18900,0.005061982870178937,10.8
random_forest,ERBB4,9301,18900,0.00578845470742953,50.8
random_forest,MET,14448,18900,0.005359455892305457,23.6
random_forest,KRAS,7932,18900,0.005893347403660583,58.0
random_forest,PIK3CA,8194,18900,0.005874756105156798,56.6
random_forest,AKT1,3559,18900,0.00624476959640264,81.2
random_forest,MAPK1,1732,18900,0.006467502546900597,90.8
random_forest,SRC,6990,18900,0.0059623495199227685,63.0
xgboost,EGFR,17383,18900,0.004734729173470284,8.0
xgboost,ERBB2,17758,18900,0.004619784941171486,6.0
xgboost,ERBB3,18667,18900,0.004020929969214581,1.2
xgboost,ERBB4,5584,18900,0.006138330334780946,70.5
xgboost,MET,17657,18900,0.004650071289953786,6.6
xgboost,KRAS,8692,18900,0.005835361976312019,54.0
xgboost,PIK3CA,4560,18900,0.006247892430911005,75.9
xgboost,AKT1,3137,18900,0.006428442137996246,83.4
xgboost,MAPK1,1719,18900,0.006685205423583502,90.9
xgboost,SRC,7746,18900,0.005923889210736182,59.0
