model,gene,importance,rank
random_forest,KIR3DL1,0.007652291421721342,1
random_forest,VPS41,0.007642544155243066,2
random_forest,USP42,0.007580115616746059,3
random_forest,C17orf61,0.007529464635920364,4
random_forest,C7orf33,0.007492015882804126,5
random_forest,KIR3DL2,0.007472440201744016,6
random_forest,SNRNP40,0.007462218959627997,7
random_forest,PPP4C,0.0074613060657589825,8
random_forest,CD164,0.0074372000931741105,9
random_forest,OTX2,0.007433704097973775,10
random_forest,GCG,0.007396533118080415,11
random_forest,SUCLA2,0.007395080778849898,12
random_forest,KLK2,0.007368590402305559,13
random_forest,C7orf70,0.007367140008328414,14
random_forest,COX7B,0.007356089248281905,15
random_forest,APOB,0.0073462686161348606,16
random_forest,NSFL1C,0.007342873142838255,17
random_forest,ALG5,0.0073343887067206254,18
random_forest,KIAA0753,0.00732815420598809,19
random_forest,HMHB1,0.007322947758528201,20
random_forest,PCNXL3,0.007319490763478596,21
random_forest,PRC1,0.007316554038514476,22
random_forest,C6orf47,0.007315775671438014,23
random_forest,APOA2,0.007287306569302127,24
random_forest,ABCC10,0.0072862892517739095,25
random_forest,ZNF580,0.0072654144585648115,26
random_forest,C20orf7,0.007258580089312199,27
random_forest,KRIT1,0.007256015691766377,28
random_forest,CBX3,0.007252523900752894,29
random_forest,RAB6A,0.007236587884904417,30
random_forest,FAM200A,0.007223554736666555,31
random_forest,F2,0.0072233504376446565,32
random_forest,LRRC57,0.007215644477721638,33
random_forest,PSMC2,0.007215628022362819,34
random_forest,CSRP2BP,0.007214682250140963,35
random_forest,C20orf72,0.007211873279021671,36
random_forest,GOLIM4,0.007209662183987134,37
random_forest,KLK3,0.007195300240915159,38
random_forest,IL26,0.007195267552558729,39
random_forest,CAPN7,0.007188798973466549,40
random_forest,CCNL2,0.007188788728193296,41
random_forest,COL6A5,0.00718161053102479,42
random_forest,MECP2,0.007174871605741854,43
random_forest,KIN,0.007174414749093346,44
random_forest,KLK4,0.007167441763355966,45
random_forest,EGFEM1P,0.007164297131324623,46
random_forest,ACSL6,0.007163542611297903,47
random_forest,RPL30,0.0071630130490396545,48
random_forest,NKX3-1,0.0071603927094394055,49
random_forest,LINC00493,0.007156950205077351,50
xgboost,KIR3DL1,0.008607690761558033,1
xgboost,PSMF1,0.00839561623214357,2
xgboost,F2,0.008219043185206196,3
xgboost,ADH1A,0.008182261514036395,4
xgboost,AHSG,0.008152707133363767,5
xgboost,KIN,0.008106857774051115,6
xgboost,C16orf70,0.008088506504505617,7
xgboost,C20orf7,0.008080548075369084,8
xgboost,C17orf61,0.008067382274168734,9
xgboost,ITIH2,0.008066002625028662,10
xgboost,APOA1,0.008065718141508096,11
xgboost,PKD2L1,0.008061373810175727,12
xgboost,APOB,0.008041842624462116,13
xgboost,KIR3DL2,0.008034225468328505,14
xgboost,GCG,0.00802124157518592,15
xgboost,CRLS1,0.007998318323502528,16
xgboost,FREM1,0.007995251545095991,17
xgboost,PCID2,0.007981162961730072,18
xgboost,EGFEM1P,0.00797194590568766,19
xgboost,F9,0.007971459030631354,20
xgboost,ADO,0.007958095179104199,21
xgboost,SCAMP1,0.007943793223181768,22
xgboost,APOA2,0.007939438872257001,23
xgboost,ESF1,0.007939420259212644,24
xgboost,PTPRA,0.007937317131461721,25
xgboost,ZNF580,0.007933201831993565,26
xgboost,CPA1,0.007921514600858841,27
xgboost,LOC100505894,0.007920865268930733,28
xgboost,COMMD10,0.007914151969350294,29
xgboost,FASTKD5,0.00789187621368171,30
xgboost,FAM32A,0.007882712737343575,31
xgboost,ALB,0.007880920119910763,32
xgboost,GRIN3A,0.00786351735156126,33
xgboost,SRGAP3-AS2,0.007850218278944984,34
xgboost,LOC285205,0.007835425613027082,35
xgboost,LOC285556,0.00782249966492586,36
xgboost,OTX2,0.007819784612253168,37
xgboost,C17orf101,0.007809994477338536,38
xgboost,C7orf33,0.007802585454589486,39
xgboost,SUCLA2,0.007798575905513111,40
xgboost,ESRG,0.007758944750209507,41
xgboost,AMBN,0.007746862197619411,42
xgboost,CDS2,0.007746544421339221,43
xgboost,IMPG2,0.007731645190498914,44
xgboost,TSFM,0.007729514724685477,45
xgboost,DMRT1,0.007715340913246769,46
xgboost,DSCR8,0.007709640686164531,47
xgboost,CDC16,0.007709125567343914,48
xgboost,KIAA0753,0.007709016961191907,49
xgboost,LOC150381,0.007701276531318943,50
